word,language
a,pt
ao,pt
aos,pt
as,pt
da,pt
das,pt
do,pt
dos,pt
duma,pt
dum,pt
dumas,pt
duns,pt
e,pt
ela,pt
elas,pt
ele,pt
eles,pt
em,pt
essa,pt
esse,pt
essas,pt
esses,pt
esta,pt
este,pt
estas,pt
estes,pt
o,pt
os,pt
de,pt
que,pt
um,pt
uma,pt
para,pt
nao,pt
no,pt
por,pt
mais,pt
como,pt
mas,pt
foi,pt
tem,pt
seu,pt
sua,pt
ser,pt
quando,pt
muito,pt
ha,pt
ja,pt
tambem,pt
so,pt
pelo,pt
pela,pt
ate,pt
isso,pt
entre,pt
depois,pt
sem,pt
mesmo,pt
ter,pt
seus,pt
quem,pt
nas,pt
me,pt
estao,pt
voce,pt
tinha,pt
foram,pt
nem,pt
suas,pt
meu,pt
minha,pt
numa,pt
pelos,pt
havia,pt
seja,pt
qual,pt
sera,pt
nos,pt
tenho,pt
lhe,pt
deles,pt
pelas,pt
fosse,pt
dele,pt
tu,pt
te,pt
voces,pt
vos,pt
lhes,pt
meus,pt
minhas,pt
teu,pt
tua,pt
teus,pt
tuas,pt
nossa,pt
nossos,pt
nossas,pt
delas,pt
aquele,pt
aquela,pt
aqueles,pt
aquelas,pt
isto,pt
aquilo,pt
estou,pt
estamos,pt
estive,pt
esteve,pt
estivemos,pt
estiveram,pt
estava,pt
estavamos,pt
estavam,pt
estivera,pt
esteja,pt
estejamos,pt
estejam,pt
estivermos,pt
eu,pt
com,pt
na,pt
se,pt
ainda,pt
ou,pt
porque,pt
sim,pt
era,pt
fazer,pt
vou,pt
estar,pt
ver,pt
ir,pt
i,en
my,en
myself,en
we,en
our,en
ours,en
ourselves,en
you,en
youre,en
youve,en
youll,en
youd,en
your,en
yours,en
yourself,en
yourselves,en
he,en
him,en
his,en
himself,en
she,en
shes,en
her,en
hers,en
herself,en
it,en
its,en
itself,en
they,en
them,en
their,en
theirs,en
themselves,en
what,en
which,en
who,en
whom,en
this,en
that,en
thatll,en
these,en
those,en
am,en
is,en
are,en
was,en
were,en
be,en
been,en
being,en
have,en
has,en
had,en
having,en
does,en
did,en
doing,en
an,en
the,en
and,en
but,en
if,en
or,en
because,en
until,en
while,en
of,en
at,en
by,en
for,en
with,en
about,en
against,en
between,en
into,en
through,en
during,en
before,en
after,en
above,en
below,en
to,en
from,en
up,en
down,en
in,en
out,en
on,en
off,en
over,en
under,en
again,en
further,en
then,en
once,en
here,en
there,en
when,en
where,en
why,en
how,en
all,en
any,en
both,en
each,en
few,en
more,en
most,en
other,en
some,en
such,en
nor,en
not,en
only,en
own,en
same,en
than,en
too,en
very,en
can,en
will,en
just,en
dont,en
should,en
shouldve,en
now,en
arent,en
couldnt,en
didnt,en
doesnt,en
hadnt,en
hasnt,en
havent,en
isnt,en
mightnt,en
mustnt,en
neednt,en
shant,en
shouldnt,en
wasnt,en
werent,en
wont,en
wouldnt,en